gene_ID	CV.TPM	CV.logTPM	rank
Crpow_TRINITY_DN100576_c1_g1	2.699374432616258	2.3617966988464736	37634
Crpow_TRINITY_DN100607_c0_g1	1.1356251047570491	0.9777969722707154	32792
Crpow_TRINITY_DN100620_c0_g2	1.975319511270126	1.8104042403921639	36648
Crpow_TRINITY_DN100693_c0_g1	2.3707057349261964	2.1711894770336255	37341
Crpow_TRINITY_DN100707_c0_g1	2.7929255006458718	2.7493204922703813	38223
Crpow_TRINITY_DN100712_c3_g1	1.823486312020733	1.6921114059353952	36406
Crpow_TRINITY_DN100743_c0_g2	1.8333164704625187	1.732008014168962	36499
Crpow_TRINITY_DN100763_c0_g1	2.82842712474619	2.82842712474619	38397
Crpow_TRINITY_DN100767_c0_g1	2.0564568990787575	1.9308103993828167	36882
Crpow_TRINITY_DN10076_c0_g2	1.6929972531647612	0.8723310867628109	31692
Crpow_TRINITY_DN10086_c0_g1	1.834858199512339	0.9849581800050585	32868
Crpow_TRINITY_DN100870_c0_g1	1.2345760694813817	1.0190994679460883	33234
Crpow_TRINITY_DN10092_c0_g2	1.0614941518058978	0.8959648598777866	31947
Crpow_TRINITY_DN100945_c1_g2	2.8284271247461903	2.82842712474619	38397
Crpow_TRINITY_DN100966_c1_g1	1.372937646107437	0.9399077270946018	32412
Crpow_TRINITY_DN100966_c1_g2	1.2165225036167766	0.8772555437142443	31749
Crpow_TRINITY_DN100968_c1_g1	2.5224454125771785	2.218450301051732	37414
Crpow_TRINITY_DN100990_c0_g1	1.1700445286042243	1.0448392630253773	33495
Crpow_TRINITY_DN1009_c0_g4	1.4753277098545	0.8363884368193141	31251
Crpow_TRINITY_DN101006_c0_g1	2.5261407881055615	2.354908256123182	37622
Crpow_TRINITY_DN101019_c0_g1	1.261362976055285	1.127842264777761	34121
Crpow_TRINITY_DN10105_c1_g3	1.7176142303587711	1.0550171059925884	33581
Crpow_TRINITY_DN101076_c1_g1	1.1441883276548457	0.9320299968303022	32341
Crpow_TRINITY_DN101094_c0_g1	2.7574473128724586	2.668431766199149	38082
Crpow_TRINITY_DN101155_c0_g1	2.3714914055371183	1.2509288825611937	34900
Crpow_TRINITY_DN101155_c1_g1	2.296328309368081	1.6992458433264102	36416
Crpow_TRINITY_DN101222_c2_g3	2.8284271247461903	2.82842712474619	38397
Crpow_TRINITY_DN101224_c4_g1	2.7118940485702603	2.6580336009336687	38068
Crpow_TRINITY_DN101376_c0_g1	2.82842712474619	2.8284271247461903	38689
Crpow_TRINITY_DN10146_c0_g2	1.5787252311691948	1.402573059110093	35633
Crpow_TRINITY_DN101501_c0_g1	1.588313688706606	1.2962939676724499	35141
Crpow_TRINITY_DN101573_c0_g1	2.1032756024894614	1.807136988839583	36640
Crpow_TRINITY_DN101579_c0_g1	2.328428935336075	1.9576211861899646	36946
Crpow_TRINITY_DN101589_c0_g1	1.3477097167738694	1.2283535953985187	34738
Crpow_TRINITY_DN10158_c1_g1	1.1808033979975232	1.066916685632095	33677
