gene_ID	CV.TPM	rank
Crpow_TRINITY_DN113444_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN113608_c1_g3	2.8284271247461903	78083
Crpow_TRINITY_DN113619_c0_g4	2.8284271247461903	78083
Crpow_TRINITY_DN113872_c1_g1	2.8284271247461903	78083
Crpow_TRINITY_DN113874_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN113943_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN114201_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN11421_c0_g4	2.8284271247461903	78083
Crpow_TRINITY_DN114294_c3_g1	2.8284271247461903	78083
Crpow_TRINITY_DN114330_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN114982_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN115016_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN115185_c0_g4	2.8284271247461903	78083
Crpow_TRINITY_DN115327_c1_g1	2.8284271247461903	78083
Crpow_TRINITY_DN115357_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN115357_c0_g2	2.8284271247461903	78083
Crpow_TRINITY_DN115651_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN115729_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN116467_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN116513_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN116521_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN116569_c4_g1	2.8284271247461903	78083
Crpow_TRINITY_DN117002_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN117522_c0_g1	2.8284271247461903	78083
Crpow_TRINITY_DN117524_c1_g1	2.8284271247461903	78083
Crpow_TRINITY_DN117746_c1_g1	2.8284271247461903	78083
Crpow_TRINITY_DN117772_c4_g1	2.8284271247461903	78083
Crpow_TRINITY_DN118191_c3_g1	2.8284271247461903	78083
